Keyword,Volume,Difficulty,Intent,Assigned Page URL,Page Type,Gap,Priority
Thai sugar exporter,2400,42,Commercial,/,Homepage,N,High
ICUMSA 45 wholesale,1900,38,Transactional,/product-category/sugar,Category,N,High
Thailand rice exporter,1600,40,Commercial,/product-category/rice,Category,N,High
jasmine rice wholesale,1200,35,Transactional,/product-category/rice,Category,N,High
NPK fertilizer supplier Thailand,880,32,Commercial,/product-category/fertilizers,Category,N,High
edible cooking oil exporter Thailand,720,30,Commercial,/product-category/edible-cooking-oil,Category,N,High
agricultural commodities supplier Thailand,590,45,Commercial,/,Homepage,N,High
bulk sugar FOB Thailand,480,36,Transactional,/guides/fob-vs-cif-agricultural-commodities,Guide,N,High
CIF sugar supplier,390,34,Transactional,/request-a-quote,Conversion,N,High
wholesale sugar quote,320,28,Transactional,/request-a-quote,Conversion,N,High
how to import Thai sugar,260,25,Informational,/guides/how-to-import-thai-sugar,Guide,Y,High
ICUMSA grades explained,210,22,Informational,/glossary,Glossary,Y,High
FOB vs CIF agricultural commodities,180,20,Informational,/guides/fob-vs-cif-agricultural-commodities,Guide,Y,High
Thailand rice export market,150,24,Informational,/guides/thailand-rice-export-overview,Guide,Y,Medium
what is ICUMSA sugar,140,18,Informational,/glossary,Glossary,Y,Medium
Thai fertilizer exporter,130,30,Commercial,/product-category/fertilizers,Category,N,Medium
urea fertilizer wholesale,110,28,Transactional,/product/urea-46-0-0,Product,N,Medium
parboiled rice supplier,95,26,Transactional,/product-category/rice,Category,N,Medium
energy drinks wholesale Thailand,80,22,Commercial,/product-category/energy-drinks,Category,N,Low
FREEM ENTERPRISE sugar,50,10,Navigational,/about-us,About,N,Low
sugar export documentation COA,70,20,Informational,/quality-control,Info,N,Medium
ordering agricultural commodities Thailand,60,18,Informational,/ordering-procedure,Info,N,Medium
wholesale buyer FAQ sugar rice,90,15,Informational,/faq,FAQ,Y,High
sustainable sugar sourcing Thailand,55,22,Informational,/sustainability,Info,N,Low
