Target Site,DR,Editor Contact,Pitch Status,Published Link,Topic Angle
thaitrade.com,55,TBD,Pitched,,Thai agricultural export guide for buyers
aseanbriefing.com,62,TBD,Research,,Southeast Asia commodity sourcing trends
foodbusinessnews.net,60,TBD,Not started,,ICUMSA sugar grades explained for food manufacturers
globaltrademag.com,48,TBD,Not started,,FOB vs CIF for first-time commodity importers
agriculture.com,52,TBD,Not started,,NPK fertilizer sourcing from Thailand
tradeforum.org,58,TBD,Not started,,Quality documentation in agricultural exports
worldstopexports.com,65,TBD,Research,,Thailand sugar export data contribution
fertilizerinternational.com,42,TBD,Not started,,Organic vs compound fertilizers from ASEAN
thailandbusinessnews.com,55,TBD,Not started,,FREEM Enterprise export capabilities profile
commodityonline.com,45,TBD,Not started,,Wholesale sugar market insights
