Prospect Domain,DR,Contact Name,Email,Outreach Date,Follow-up 1,Follow-up 2,Status,Link Acquired,Link URL
thaitrade.com,55,Editor,editor@thaitrade.com,2026-08-20,,,Pending,N,
aseanbriefing.com,62,Contributing Editor,,2026-08-22,,,Pending,N,
export.gov,85,Trade Specialist,,2026-08-25,,,Research,N,
worldstopexports.com,65,Content Team,,2026-08-27,,,Pending,N,
foodbusinessnews.net,60,Industry Editor,,2026-09-01,,,Pending,N,
globaltrademag.com,48,Editor,,2026-09-03,,,Pending,N,
tradeforum.org,58,Membership,,2026-09-05,,,Pending,N,
agriculture.com,52,Contributors,,2026-09-08,,,Pending,N,
thaiembassy.org,70,Trade Section,,2026-09-10,,,Pending,N,
commodityonline.com,45,Editor,,2026-09-12,,,Pending,N,
sugarindustry.info,40,Webmaster,,2026-09-15,,,Pending,N,
riceexporter.com,38,Admin,,2026-09-17,,,Pending,N,
fertilizerinternational.com,42,Editor,,2026-09-20,,,Pending,N,
agribusinessglobal.com,50,Contributing Writer,,2026-09-22,,,Pending,N,
thailandbusinessnews.com,55,Editor,,2026-09-24,,,Pending,N,
bangkokpost.com,78,Business Desk,,2026-09-26,,,Research,N,
nationthailand.com,72,Business Editor,,2026-09-28,,,Research,N,
freightwaves.com,58,Contributors,,2026-10-01,,,Pending,N,
shippingwatch.com,50,Editor,,2026-10-03,,,Pending,N,
maritime-executive.com,55,Contributors,,2026-10-05,,,Pending,N,
