Domain,DR,Linking to Competitors,Opportunity Type,Priority
thaitrade.com,55,"thaisugar.com; korakotinter.com",Industry directory,High
aseanbriefing.com,62,"cosan.com; wilmar-international.com",Trade publication,High
export.gov,85,"generic ag exporters",Government resource page,High
fao.org,92,"agricultural trade",UN resource citation,Medium
tradeforum.org,58,"commodity exporters",Trade association,Medium
thaiembassy.org,70,"Thai exporters",Embassy trade directory,Medium
agriculture.com,52,"fertilizer suppliers",Industry news,Medium
foodbusinessnews.net,60,"sugar/rice trade",Industry publication,Medium
globaltrademag.com,48,"exporters",Trade magazine,Low
worldstopexports.com,65,"Thailand exports",Statistics/listicle,High
